school_name,city,housing_low_eur,housing_typical_eur,housing_high_eur,non_housing_monthly_eur,monthly_cost_low_eur,monthly_cost_typical_eur,monthly_cost_high_eur,cost_reference_year,source_type,confidence_level,notes
Copenhagen Business School,Copenhagen,670,850,1100,450,1120,1300,1550,2026,Official and government,Medium,"Housing range based on CBS accommodation guidance and current residence/private-room variation. Non-housing estimate assumes groceries, local transport, phone and modest social spending. Deposits, flights, tuition and semester travel are excluded."
Nova SBE,Lisbon,450,600,800,400,850,1000,1200,2026,Official university guidance and project estimate,Medium,"Housing estimate represents a room in shared accommodation in Lisbon, Carcavelos or nearby areas. Nova SBE offers housing guidance, partner residences and some subsidised options, but availability and prices vary considerably. Non-housing estimate includes groceries, public transport, phone and modest leisure. Deposits, flights and semester travel are excluded."
ESADE,Barcelona,400,500,700,650,1050,1150,1350,2026,Official university estimate,Medium,"ESADE publishes an indicative monthly student budget of approximately €1,200, including shared accommodation, utilities, groceries, cafeteria meals, transport, sports and miscellaneous expenses. The housing range used here is adjusted to reflect current uncertainty and different locations between Barcelona and Sant Cugat. Deposits, flights, tuition and semester travel are excluded."
HEC Paris,Jouy-en-Josas,550,700,900,500,1050,1200,1400,2025,Official university estimate,High,"HEC Paris publishes an approximate living-cost estimate of €1,200 per month covering housing, food, compulsory insurance, sports and leisure. The housing range reflects furnished campus or nearby student accommodation rather than central Paris rents. Utilities may be included in campus residence charges. Deposits, flights, tuition and optional travel are excluded."
Rotterdam School of Management,Rotterdam,600,750,1000,500,1100,1250,1500,2026,Official university guidance and project estimate,Medium,"The estimate targets an exchange student living in a room or shared accommodation rather than an MBA student living comfortably. RSM states that affordable housing is in high demand and is not guaranteed. Non-housing costs include groceries, local transport, phone, insurance allowance and modest leisure. Deposits, tuition, flights and optional travel are excluded."
University of St. Gallen,St. Gallen,650,800,1000,550,1200,1350,1550,2026,Official university guidance and project estimate,Medium,"The estimate targets an incoming exchange student and excludes tuition. HSG provides furnished rooms through its Housing Office, while its general full-degree budgets include tuition and therefore are not directly comparable. Non-housing costs include groceries, local transport, phone, insurance allowance and modest leisure. Deposits, flights and optional travel are excluded."
Stockholm School of Economics,Stockholm,545,725,905,555,1100,1280,1460,2026,Official university estimate,High,"SSE publishes estimated monthly costs of SEK 6000-10000 for housing plus SEK 6150 for food insurance local transport hobbies and leisure. Values were converted using the ECB reference rate of EUR 1 = SEK 11.045 on 2026-07-20. Housing is not guaranteed. Deposits flights tuition and optional travel are excluded."
WU Vienna,Vienna,450,650,900,550,1000,1200,1450,2026,Official university estimate,High,"WU estimates accommodation at €450-€900 per month and provides separate guidance for food personal expenses utilities entertainment transport and books. The typical estimate assumes a student residence or shared room and moderate discretionary spending. Deposits tuition flights and optional semester travel are excluded."
Prague University of Economics and Business,Prague,250,350,500,400,650,750,900,2026,Official university estimate,High,"VSE estimates total student living costs at approximately €550-€800 per month depending on lifestyle and accommodation. The typical estimate assumes university dormitory or affordable shared accommodation. Internet is included in VSE residence fees. Private apartments can cost substantially more. Deposits flights tuition and optional travel are excluded."
National University of Singapore,Singapore,475,610,1220,490,965,1100,1710,2026,Official university estimate,Medium,"NUS estimates international student spending at approximately SGD 1600 per month, while broader guidance indicates higher costs depending on accommodation and lifestyle. Housing estimates reflect an affordable public-housing room, typical on-campus accommodation and a higher-cost private or campus option. Values were converted using the ECB reference rate of EUR 1 = SGD 1.4749 on 2026-07-20. On-campus housing for exchange students is not guaranteed. Deposits flights visa costs tuition and optional travel are excluded."
HKUST Business School,Hong Kong,350,400,500,730,950,1130,1350,2026,Official university estimate,High,"HKUST estimates total semester exchange expenses at HKD 43500, including university housing, insurance, visa processing, food, books, local transport and personal expenses. Undergraduate exchange students are guaranteed shared university accommodation. Recurring monthly figures exclude books and one-time visa processing costs and use the ECB reference rate of EUR 1 = HKD 8.9587 on 2026-07-20. Flights tuition deposits and optional travel outside Hong Kong are excluded."
